Allele,D1S1656,D2S441,D2S1338,D3S1358,FGA,D8S1179,D10S1248,TH01,VWA,D12S391,D16S539,D18S51,D19S433,D21S11,D22S1045
2.2,,,,,,,,,,,,,,,
5,,,,,,,,0.007194245,,,,,,,
6,,,,,,,,0.209832134,,,,,,,
7,,,,,,,0.000239808,0.180815348,,,0.000239808,,,,
8,,0.000479616,,,,0.019184652,,0.111031175,,,0.016786571,,,,
8.3,,,,,,,,0.000239808,,,,,,,
9,,0.000239808,,,,0.016786571,,0.135251799,,,0.129496403,0.000959233,,,
9.3,,,,,,,,0.346522782,,,,,,,
10,0.001678657,0.188729017,,0.000239808,,0.088968825,0.000719424,0.00911271,0.000239808,,0.065227818,0.007913669,0.000479616,,0.001438849
10.2,,,,,,,,,,,,,,,
10.3,,,,,,,,,,,,,,,
11,0.074820144,0.343165468,,0.001918465,,0.077458034,0.00263789,,,,0.321582734,0.013908873,0.005035971,,0.140527578
11.2,,,,,,,,,,,,,,,
11.3,,0.042446043,,,,,,,,,,,,,
12,0.123980815,0.047482014,0.000239808,,,0.159472422,0.035491607,,0.000479616,,0.264268585,0.157074341,0.066906475,,0.013429257
12.1,,,,,,0.000239808,,,,,,,0.000959233,,
12.2,,,,,,,,,,,,,0.000239808,,
12.3,,0.001678657,,,,,,,,,,,,,
13,0.057314149,0.025659472,,0.005995204,,0.319664269,0.316067146,,0.001918465,,0.179376499,0.137889688,0.213429257,,0.005995204
13.2,,,,,,,,,,,,,0.01822542,,
13.3,,0.000479616,,,,,,,,,,,,,
13.4,,,,,,,,,,,,,,,
14,0.087529976,0.293764988,0.000239808,0.122781775,,0.194964029,0.307194245,,0.098800959,0.000239808,0.022541966,0.164748201,0.36618705,,0.050839329
14.1,,0.000239808,,,,,,,,,,,,,
14.2,,,,,,,,,,,,,0.023261391,,
14.3,0.001678657,,,,,,,,,,,,,,
15,0.13117506,0.049640288,0.000479616,0.246522782,,0.091846523,0.196402878,,0.097601918,0.041486811,0.000239808,0.142925659,0.182973621,,0.325179856
15.2,,,,,,,,,,,,,0.042206235,,
15.3,0.074820144,,,,,,,,,,,,,,
16,0.118705036,0.005995204,0.038129496,0.241726619,,0.026378897,0.117266187,,0.205995204,0.037410072,0.000239808,0.123261391,0.05323741,,0.370743405
16.1,0.000239808,,,,,,,,,,,,,,
16.2,,,,,,,,,,,,,0.016786571,,
16.3,0.054916067,,,,,,,,,0.000239808,,,,,
17,0.057793765,,0.194004796,0.216306954,0.001199041,0.005035971,0.020383693,,0.274100719,0.100479616,,0.107434053,0.005275779,,0.084172662
17.1,0.000719424,,,,,,,,,,,,,,
17.2,,,,,,,,,,,,,0.003357314,,
17.3,0.141966427,,,,,,,,,0.022781775,,,,,
18,0.00383693,,0.083693046,0.154436451,0.017985612,,0.003357314,,0.199760192,0.175539568,,0.071702638,0.000239808,,0.006714628
18.2,,,,,,,,,,,,,0.000959233,,
18.3,0.053717026,,,,,,,,,0.02206235,,,,,
19,0.000479616,,0.116546763,0.009352518,0.060671463,,0.000239808,,0.105995204,0.103117506,,0.036690647,,,0.000959233
19.1,,,,,0.000479616,,,,,,,,,,
19.2,,,,,0.000959233,,,,,,,,0.000239808,,
19.3,0.013669065,,,,,,,,,0.009832134,,,,,
20,,,0.151558753,0.000719424,0.134052758,,,,0.014388489,0.120623501,,0.019664269,,,
20.1,,,,,,,,,,,,,,,
20.2,,,,,0.000239808,,,,,0.000239808,,,,,
20.3,0.000959233,,,,,,,,,0.000479616,,,,,
21,,,0.030455635,,0.166906475,,,,0.000719424,0.130935252,,0.00911271,,,
21.2,,,,,0.003117506,,,,,,,,,,
22,,,0.031414868,,0.172182254,,,,,0.101438849,,0.004316547,,,
22.1,,,,,0.000239808,,,,,,,,,,
22.2,,,,,0.007434053,,,,,,,,,,
23,,,0.093764988,,0.147242206,,,,,0.075059952,,0.000959233,,,
23.2,,,,,0.003357314,,,,,,,,,,
24,,,0.122781775,,0.13764988,,,,,0.036930456,,0.001438849,,,
24.2,,,,,0.001199041,,,,,,,,,0.000239808,
25,,,0.112470024,,0.10263789,,,,,0.01558753,,,,,
25.2,,,,,,,,,,,,,,0.000239808,
25.3,,,,,,,,,,,,,,,
26,,,0.021582734,,0.037410072,,,,,0.003597122,,,,0.001678657,
26.2,,,,,,,,,,,,,,,
27,,,0.001678657,,0.004796163,,,,,0.001438849,,,,0.042925659,
27.2,,,,,,,,,,,,,,,
27.3,,,,,,,,,,,,,,,
28,,,0.000959233,,0.000239808,,,,,0.000239808,,,,0.169304556,
28.2,,,,,,,,,,,,,,0.000239808,
29,,,,,,,,,,0.000239808,,,,0.201199041,
29.2,,,,,,,,,,,,,,0.000719424,
29.3,,,,,,,,,,,,,,0.000479616,
30,,,,,,,,,,,,,,0.258752998,
30.2,,,,,,,,,,,,,,0.032853717,
31,,,,,,,,,,,,,,0.091606715,
31.2,,,,,,,,,,,,,,0.07793765,
32,,,,,,,,,,,,,,0.016067146,
32.2,,,,,,,,,,,,,,0.073381295,
33,,,,,,,,,,,,,,0.002877698,
33.2,,,,,,,,,,,,,,0.026139089,
34,,,,,,,,,,,,,,0.000239808,
34.1,,,,,,,,,,,,,,0.000479616,
34.2,,,,,,,,,,,,,,0.001918465,
35,,,,,,,,,,,,,,0.000479616,
35.2,,,,,,,,,,,,,,0.000239808,
36,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,
