Panel	Marker	Allele	Size	Size.Min	Size.Max	Virtual	Color	Repeat	Marker.Min	Marker.Max	Offset	Short.Name	Full.Name	Gender.Marker
PowerPlex_ESI_17_IDX_v2.1	AMEL	X	81.8	81.3	82.3	0	blue	9	78	92	73	ESI17	PowerPlex ESI 17 System	TRUE
PowerPlex_ESI_17_IDX_v2.1	AMEL	Y	87.58	87.08	88.08	0	blue	9	78	92	73	ESI17	PowerPlex ESI 17 System	TRUE
PowerPlex_ESI_17_IDX_v2.1	D3S1358	8	93.95	93.45	94.45	1	blue	4	92.01	149	62	ESI17	PowerPlex ESI 17 System	FALSE
PowerPlex_ESI_17_IDX_v2.1	D3S1358	9	98.08	97.58	98.58	0	blue	4	92.01	149	62	ESI17	PowerPlex ESI 17 System	FALSE
PowerPlex_ESI_17_IDX_v2.1	D3S1358	10	102.21	101.71	102.71	0	blue	4	92.01	149	62	ESI17	PowerPlex ESI 17 System	FALSE
PowerPlex_ESI_17_IDX_v2.1	D3S1358	11	106.35	105.85	106.85	0	blue	4	92.01	149	62	ESI17	PowerPlex ESI 17 System	FALSE
PowerPlex_ESI_17_IDX_v2.1	D3S1358	12	110.5	110	111	0	blue	4	92.01	149	62	ESI17	PowerPlex ESI 17 System	FALSE
PowerPlex_ESI_17_IDX_v2.1	D3S1358	13	114.65	114.15	115.15	0	blue	4	92.01	149	62	ESI17	PowerPlex ESI 17 System	FALSE
PowerPlex_ESI_17_IDX_v2.1	D3S1358	14	118.8	118.3	119.3	0	blue	4	92.01	149	62	ESI17	PowerPlex ESI 17 System	FALSE
PowerPlex_ESI_17_IDX_v2.1	D3S1358	15	122.91	122.41	123.41	0	blue	4	92.01	149	62	ESI17	PowerPlex ESI 17 System	FALSE
PowerPlex_ESI_17_IDX_v2.1	D3S1358	15.2	124.95	124.45	125.45	1	blue	4	92.01	149	62	ESI17	PowerPlex ESI 17 System	FALSE
PowerPlex_ESI_17_IDX_v2.1	D3S1358	16	126.99	126.49	127.49	0	blue	4	92.01	149	62	ESI17	PowerPlex ESI 17 System	FALSE
PowerPlex_ESI_17_IDX_v2.1	D3S1358	17	131.06	130.56	131.46	0	blue	4	92.01	149	62	ESI17	PowerPlex ESI 17 System	FALSE
PowerPlex_ESI_17_IDX_v2.1	D3S1358	17.1	132.13	131.63	132.63	1	blue	4	92.01	149	62	ESI17	PowerPlex ESI 17 System	FALSE
PowerPlex_ESI_17_IDX_v2.1	D3S1358	18	135.2	134.7	135.7	0	blue	4	92.01	149	62	ESI17	PowerPlex ESI 17 System	FALSE
