Allele,D3S1358,VWA,D16S539,D2S1338,D8S1179,D21S11,D18S51,D19S433,TH01,FGA
5,,,,,,,,,0.0011,
6,,,,,,,,,0.2471,
7,,,,,0.0009,,,,0.1859,
8,,,0.0115,,0.015,,,,0.1051,
9,,,0.1132,,0.0093,, ,0.0056,0.1443,
9.3,,, ,,,, ,,0.3072,
10,,,0.0624,,0.097,,0.0067,0.0014,0.0092,
11,0.0012,,0.3372,,0.0878,,0.0134,0.0071,,
12,0.0012,0.0012,0.2886,,0.1178,,0.1557,0.0664,,
12.2,, ,,,,,,0.0028,,
13,0.0046,0.0028,0.164,,0.3072,,0.1442,0.0424,,
13.2,,,,,,,,0.0014,,
14,0.1374,0.1316,0.0208,,0.2275,,0.1614,0.072,,
14.2,,,,,,,0.0019,0.0028,,
15,0.2564,0.0981,0.0011,,0.1062,,0.1404,0.1596,,
15.2,0.0011,,,,,,,0.0014,,
16,0.2806,0.2136,,0.0473,0.0277,,0.1309,0.1497,, 
16.2,,,,,,, ,0.0014,,
17,0.1709,0.2621,,0.1963,0.0046,,0.0955,0.1652,,0.0015
17.2,,,,,,,,0.0042,,
18,0.1316,0.2032,,0.0774,,,0.0735,0.1412,,0.0138
18.2,,,,,,,,0.0014,,
19,0.0139,0.0774,,0.1305,,,0.0296,0.072,,0.0589
19.2,,,,,,,,0.0014,,
20,0.0012,0.0127,,0.1374,,,0.0248,0.0706,,0.1536
20.2,,,,,,,,,,0.0011
21,,0.001,,0.0427,,,0.0143,0.0212,,0.1651
21.2,,,,,,,,,,0.0023
22,,,,0.0358,,,0.0048,0.0071,,0.157
22.2,,,,,,,,,,0.0104
23,,,,0.097,,,0.0019,0.0028,,0.1663
23.2,,,,,, ,,,,0.0058
24,,,,0.1106,,,0.001,0.0014,,0.1513
24.2,,,,,,0.0009,,,, 
25,,,,0.1028,,,0.001,,,0.0774
25.2,,,,,,0.0011,,,, 
26,,,,0.0208,,0.0011,,,,0.0207
27,,,,0.0011,,0.0312,,,,0.0139
28,,,,,,0.1732,,,, 
28.2,,,,,,0.0009,,,, 
29,,,,,,0.1752,,,,0.0011
29.1,,,,,,0.0009,,,,
29.2,,,,,,0.0011,,,,
29.3,,,,,,0.0011,,,,
30,,,,,,0.2448,,,,
30.2,,,,,,0.0208,,,,
31,,,,,,0.082,,,,
31.2,,,,,,0.1259,,,,
32,,,,,,0.0173,,,,
32.2,,,,,,0.0831,,,,
33,,,,,,0.0011,,,,
33.2,,,,,,0.0358,,,,
34,,,,,,0.0011,,,,
34.2,,,,,,0.0035,,,,
35,,,,,,0.0011,,,,
35.2,,,,,,,,,,
36,,,,,,0.0009,,,,
37,,,,,,,,,,
38,,,,,,0.0009,,,,
