Allele,D3S1358,TH01,D21S11,D18S51,D10S1248,D1S1656,D2S1338,D16S539,D22S1045,VWA,D8S1179,FGA,D2S441,D12S391,D19S433,SE33
5,,0.00259844093543874,,,,,,,,,,,,,,
6,,0.209274435338797,,,,,,0.000899280575539568,,,,,,,,
6.3,,,,,,,,,,,,,,,,
7,,0.212472516490106,,0.000898472596585804,,,,,,,,,,,,
8,,0.0836498101139316,,,,,,0.00869304556354916,,,0.0113022566077856,,,,,
8.2,,,,,,,,,,,,,,,,0.002506945333238
9,,0.140915450729562,,0.000998302885095338,,,,0.13449240607514,,,0.00920183723819713,,,,,
9.1,,,,,,,,,,,,,,,,
9.3,,0.344293423945633,,,,,,,,,,,,,,
10,0.00089865202196705,0.00589646212272636,,0.0105820105820106,,0.002,,0.052158273381295,,,0.096419251061109,,0.172897,,,
10.1,,,,,,,,,,,,,,,,
11,0.00559161258112831,0.000899460323805717,,0.00638913846461016,0.00467300467300467,0.077,,0.316446842525979,0.154213618152737,,0.0769153569149303,,0.397196,,,
11.1,,,,,,,,,,,,,,,,
11.3,,,,,,,,,,,,,0.037383,,,
11.4,,,,,,,,,,,,,,,,
12,,,,0.132075471698113,0.028037028037028,0.148,,0.273681055155875,0.0186929234304175,0.000898472596585804,0.140027957972565,,0.03271,,0.074766,0.006556626256162
13,0.00329505741387918,,,0.127882599580713,0.285047285047285,0.045,,0.180755395683453,0.00467323085760437,0.000898472596585804,0.337267338773921,,0.018692,,0.242991,0.006556626256162
13.1,,,,,,,,,,,,,0.004673,,,
13.2,,,,,,,,,,,,,,,0.009346,0.002506945333238
13.4,,,,,,,,,,,,,,,,
14,0.124113829256116,,,0.181291803933313,0.303738303738304,0.075,,0.0300759392486011,0.0420076751791538,0.0922431865828092,0.202140359330396,,0.294393,,0.327103,0.0325902893321
14.1,,,,,,,,,,,,,,,,
14.2,,,,,,,,,,,,,,,0.014019,0.002506945333238
15,0.270993509735397,,,0.139862234201857,0.21962621962622,0.133,,0.00279776179056755,0.29440754373266,0.0754716981132076,0.0991197902505799,,0.03271,0.0418247155120783,0.205607,0.035579339537115
15.2,,,,,,,,,,,,,,,0.023364,0.002506945333238
15.3,,,,,,0.07,,,,,,,,,,0.002506945333238
16,0.23155267099351,,,0.116102625536588,0.116822116822117,0.113,0.0373830373830374,,0.397215622451749,0.21842867125886,0.0259051722249245,,0.009346,0.0234577760031943,0.060748,0.047149856459754
16.1,,,,,,,,,,,,,,,,0.002506945333238
