Allele,D3S1358,D1S1656,D2S441,D10S1248,D13S317,Penta E,D16S539,D18S51,D2S1338,CSF1PO,Penta D,TH01,vWA,D21S11,D7S820,D5S818,TPOX,D8S1179,D12S391,D19S433,SE33,D22S1045,FGA
2.2,,,,,,,,,,,0.000208834043437481,,,,,,,,,,,,
5,,,,,,0.0736265814902774,,,,,,0.00302524840750924,,,,,0.000104373016177818,,,,,,
6,,,,,,0.000157545960392946,0.00015652691281451,,,,0.00558630116195064,0.214687886988296,,,0.000260879267322985,,0.000104373016177818,,,,,,
6.3,,,,,,,,,,,,,,,0.000156527160393381,,,,,,,,
7,,,,,0.00010434101137317,0.172040956748903,,,,0.000626435679264932,0.00574293119452969,0.208063890475168,,,0.0194615199422195,0.0010433008555067,0.000521866080889243,,,,,,
8,,,0.00115207038594358,,0.118218012885763,0.0127086968050336,0.0101220943619934,,,0.00307996842305617,0.0187428038985032,0.0922695514293081,,,0.159866163814858,0.00114763094105737,0.553908085855753,0.0127282056029561,,,,,
8.1,,,,,,,,,,,,,,,0.000208703213858183,,,,,,,,
8.2,,,,,,,,,,,5.22084108593495e-05,,,,,,,,,,,,
8.3,,,,,,,,,,,,0.000156477917630024,,,5.21761534649044e-05,,,,,,,,
9,,,0.000864055289458522,,0.0754382082227647,0.0139165965013676,0.135917924293716,0.00041744924237103,,0.0221340886673466,0.214890044697129,0.133371929793016,,,0.172180176433027,0.0365676299854566,0.103382016024212,0.00954617420222588,,,,,
9.1,,,0.000288018096486062,,,,,,,,0.000104416021718533,,,,0.000417406427716366,,,,,,,,
9.2,,,,,,,,,,,,,,,,,,,,,0.000158278015194689,,
9.3,,,,,,,,,,,,0.340496820762474,,,,,,,,,,,
9.4,,,,,,,,,,,5.22084108593495e-05,,,,,,,,,,,,
10,5.21594105987922e-05,0.00028801812269572,0.194988065321002,0.00057603712845628,0.0888982096899049,0.105188973555492,0.0544714696593914,0.0124191072105336,,0.247180873443393,0.125614026127717,0.00777171590896875,,,0.251174257378262,0.0587901482079215,0.0545871084610018,0.0913928402311283,,0.000288183973487074,,,
10.1,,,,,,,,,,,,,,,0.000260879267322985,,,,,,,,
10.3,,,,,,,,,,5.22029732720777e-05,,0.000104318945086507,,,5.21761534649044e-05,,,5.21648229629551e-05,,,,,
11,0.0046421909432932,0.0740207315328316,0.384217128712738,0.00432028096342265,0.261582028512441,0.0994116750079049,0.306479829290735,0.00834899484742641,,0.298861846982734,0.123629025714837,5.21593725433063e-05,,,0.209746214926946,0.388106318247181,0.249870038729856,0.0737089324466721,,0.00201728981440934,0.000316556030389379,0.141417056566823,
11.1,,,,,,,,,,,,,,,0.00172180176433027,,,,,,,,
11.2,,,,,,,,,,,,,,,,,,,,,0.000633112060778758,,
11.3,,,0.0403226135080755,,,,,,,,,,,,5.21761534649044e-05,,,,,,,,
11.4,,,,,,,,,,,0.000104416021718533,,,,,,,,,,,,
12,5.21594105987922e-05,0.132200056317224,0.0380184127361683,0.0342742076431483,0.291058031725325,0.157861960313503,0.285609840915319,0.134888078316018,,0.329870831106135,0.234938048867114,,,,0.142022145530093,0.352008288646797,0.0372612057754869,0.1389670611733,,0.069164293636885,0.00791390075973447,0.0112327044930818,
12.1,,,,,,,,,,,,,,,0.000156527160393381,,,,,0.00115273989394793,,,
12.2,,,,,,,,5.21812302964223e-05,,,5.22084108593495e-05,,,,,,,,,0.000288183973487074,0.000633112060778758,,
12.3,,,0.00057603719297246,,,,,,,,,,,,,,,,,,,,
12.4,,,,,,,,,,,5.22084108593495e-05,,,,,,,,,,,,
13,0.00328604066772346,0.0506912215944604,0.0308180103240335,0.315956070458204,0.111644012169197,0.0817664794439071,0.172962903659663,0.126800073620123,,0.0812277584113877,0.194267040407544,,0.000573813211392787,,0.0359491368370805,0.150756123620021,0.000260933040444621,0.325717143380687,,0.225359979266882,0.00902184086609672,0.00518433207373283,
13.1,,,0.000864055289458522,,,,,,,,,,,,,,,,,,,,
13.2,,,,,,,,,,,,,,,,,,,,0.0123918988599453,0.00142450013675201,,
13.3,,,,,,,,,,,0.000104416021718533,,,,,,,,,,,,
13.4,,,,,,,,,,,0.000522084108593495,,,,,,,,,,,,
14,0.132224026867922,0.0783410333732802,0.270449090600445,0.309620069045275,0.0519094056581252,0.0570841856490357,0.0317749823013349,0.18727810873367,,0.0133117931843619,0.0572204119018457,,0.0908712334769624,,0.00584372598806602,0.0100156082127987,,0.215754094974953,0.000104362040200258,0.370604965904343,0.0303894029173827,0.0365783146313259,
14.1,,,,,,,,,,,0.000417668086874962,,,,,,,,,,,,
14.2,,,,,,,,,,,,,,,,,,,,0.0126800988334309,0.000316556030389379,,
14.3,,0.00345622147235035,,,,,,,,,,,,,,,,,,,,,
