Allele,D8S1179,D21S11,D7S820,CSF1PO,D3S1358,TH01,D13S317,D16S539,D2S1338,D19S433,vWA,TPOX,D18S51,D5S818,FGA
1,,0.000121242,,,0.000121242,,0.000424345,0.000242483,0.000121242,,0.000242483,,6.06E-05,,0.000181862
4,,,,,,,,,,,,,,,
5,,,,,,0.002546072,,,,,,0.000181862,,,
6,,,,,,0.223508729,,,,,,0.000424345,,,
6.3,,,0.000363725,,,,,,,,,,,,
7,,,0.018004365,0.000363725,,0.185378274,0.000242483,6.06E-05,,,,0.000242483,,0.000484966,
7.3,,,,0.000121242,,,,,,,,,,,
8,0.018913676,,0.15306741,0.002788555,,0.104207081,0.119907856,0.016367604,,,,0.525278855,6.06E-05,0.002242968,
8.1,,,6.06E-05,,,,,,,,,,,,
8.3,,,,,,0.000606208,,,,,,,,,
9,0.0128516,,0.163797284,0.023460233,,0.140033948,0.075412221,0.114997575,,,,0.112269641,0.000606208,0.036433075,
9.1,,,6.06E-05,,,,,,,,,,,,
9.3,,,6.06E-05,,,0.334869059,,,,,,,,,
10,0.101418526,,0.263821532,0.270186712,0.000242483,0.008729389,0.065652279,0.057771581,,0.000484966,,0.056195441,0.011336081,0.059590204,
10.1,,,6.06E-05,,,,,,,,,,,,
10.3,,,,0.000363725,6.06E-05,,,,,,,,,,
11,0.076867119,,0.206656159,0.297951018,0.001515519,,0.299042192,0.307165373,,0.003091659,,0.264609602,0.013154704,0.373120757,
11.1,,,,,,,,,,,,,,,
11.2,,,,,,,,,,6.06E-05,,,,,
11.3,,,0.000121242,,,,,,,,,,,,
12,0.139185257,,0.151370029,0.318986421,0.000484966,,0.284675073,0.297829777,,0.079595053,0.000242483,0.04007032,0.141306984,0.351297284,
12.1,,,,,,,,,,0.000545587,,,,,
12.2,,,,,,,,,,0.000969932,,,,,
13,0.324987876,,0.035038797,0.068016489,0.003091659,,0.107419981,0.178225024,0.000424345,0.238906402,0.000666828,0.000606208,0.117179922,0.163069835,
13.1,,,,,,,,,,,,,6.06E-05,,
13.2,,,,,,,,,,0.011760427,,,,,
13.3,,,,,,0.000121242,,,,,,,,,
14,0.193016489,,0.006971387,0.015094568,0.129061591,,0.045586809,0.026066925,0.000363725,0.355480116,0.110147915,0.000121242,0.163069835,0.011578565,
14.2,,,,,,,,,,0.022369059,,,6.06E-05,,
15,0.097902522,,0.000484966,0.002606693,0.271096023,,0.00163676,0.001212415,0.000303104,0.170526188,0.110451018,,0.145186712,0.002121726,0.000181862
15.2,,,,,,,,,,0.039706596,,,,,
16,0.031159069,,6.06E-05,6.06E-05,0.254485936,,,6.06E-05,0.038676043,0.048617847,0.210050921,,0.139791465,,
16.2,,,,,,,,,,0.018368089,,,6.06E-05,,
17,0.003455383,,,,0.194350145,,,,0.20192774,0.00478904,0.267216295,,0.11942289,6.06E-05,0.000606208
17.1,,,,,6.06E-05,,,,,,,,,,
17.2,,,,,,,,,,0.003879728,,,,,
18,0.000242483,,,,0.133729389,,,,0.084202231,0.000303104,0.201260912,,0.076745878,,0.016731329
18.1,,,,,,,,,,,,,0.000181862,,
18.2,,,,,,,,,,0.000424345,,,6.06E-05,,
18.3,,,,,,,,,,,6.06E-05,,,,
19,,,,,0.011032978,,,,0.11614937,6.06E-05,0.081898642,,0.04249515,,0.062984966
19.2,,,,,,,,,,6.06E-05,,,,,0.000121242
19.3,,,,,,,,,,,,,,,6.06E-05
20,,,,,0.000606208,,,,0.142276916,,0.0160645,,0.017216295,,0.139912706
20.1,,,,,6.06E-05,,,,,,,,,,
20.2,,,,,,,,,,,,,,,0.002061106
21,,,,,,,,,0.034614452,,0.001697381,,0.007092629,,0.176406402
21.2,,,,,,,,,,,,,,,0.00242483
22,,,,,,,,,0.032735209,,,,0.002970417,,0.175800194
22.1,,,,,,,,,,,,,,,6.06E-05
22.2,,,,,,,,,,,,,,,0.00885063
22.3,,6.06E-05,,,,,,,,,,,,,
23,,,,,,,,,0.100509214,,,,0.001091174,,0.150824442
23.2,,,,,,,,,,,,,,,0.003758487
24,,,,,,,,,0.11614937,,,,0.000484966,,0.132638215
24.2,,0.001091174,,,,,,,,,,,,,0.001091174
24.3,,,,,,,,,,,,,,,0.000121242
25,,0.000181862,,,,,,,0.108268671,,,,0.000181862,,0.083838506
25.2,,0.001091174,,,,,,,,,,,,,0.000363725
26,,0.001758002,,,,,,,0.021096023,,,,0.000121242,,0.032432105
26.2,,0.000121242,,,,,,,,,,,,,
27,,0.035038797,,,,,,,0.001879243,,,,,,0.007092629
28,,0.160402522,,,,,,,0.000303104,,,,,,0.001273036
28.2,,,,,,,,,,,,,,,
29,,0.210050921,,,,,,,,,,,,,0.000181862
29.1,,0.000242483,,,,,,,,,,,,,
29.2,,0.000606208,,,,,,,,,,,,,
29.3,,0.00078807,,,,,,,,,,,,,
30,,0.259153734,,,,,,,,,,,,,
30.2,,0.032432105,,,,,,,,,,,,,
30.3,,,,,,,,,,,,,,,
31,,0.072381183,,,,,,,,,,,,,
31.2,,0.089839961,,,,,,,,,,,,,
32,,0.014306499,,,,,,,,,,,,,
32.1,,6.06E-05,,,,,,,,,,,,,
32.2,,0.085960233,,,,,,,,,,,,,
33,,0.001091174,,,,,,,,,,,,,
33.2,,0.029340446,,,,,,,,,,,,,
34,,6.06E-05,,,,,,,,,,,,,
34.1,,0.000242483,,,,,,,,,,,,,
34.2,,0.002485451,,,,,,,,,,,,,
35,,0.000242483,,,,,,,,,,,,,
35.2,,0.000606208,,,,,,,,,,,,,
36.1,,6.06E-05,,,,,,,,,,,,,
36.2,,0.000181862,,,,,,,,,,,,,
